id,parent,name,created,modified
1,,"Pantry Essentials","2011-06-16 16:38:39","2011-06-16 16:38:39"
2,,"Fridge Essentials","2011-06-16 16:38:39","2011-06-16 16:38:39"
3,,"Freezer Essentials","2011-06-16 16:38:39","2011-06-16 16:38:39"
4,,"Utensil Drawer","2011-06-16 16:38:39","2011-06-16 16:38:39"
5,1,"Indispensable (most frequently used)","2011-06-16 16:54:42","2011-06-16 16:54:42"
6,1,"Suggested (frequently used)","2011-06-16 16:59:45","2011-06-16 16:59:45"
7,1,"Nice to have (less frequently used)","2011-06-16 17:00:37","2011-06-16 17:00:37"
8,2,"May last over a month","2011-06-16 17:03:49","2011-06-16 17:03:49"
9,2,"May last over 2 weeks","2011-06-16 17:03:49","2011-06-16 17:03:49"
10,2,"Keep 10 days or less","2011-06-16 17:03:49","2011-06-16 17:03:49"
11,4,"Indispensable (for the beginner)","2011-06-16 17:05:08","2011-06-16 17:05:08"
12,4,"Suggested (after all, you ARE cooking!)","2011-06-16 17:05:08","2011-06-16 17:05:08"
13,4,"Nice to have (you love being in the kitchen!)","2011-06-16 17:05:08","2011-06-16 17:05:08"
