id,ingredient_category_id,essential_category_id,has_information,name,created,modified
40,,11,0,Apron,"0000-00-00 00:00:00","0000-00-00 00:00:00"
7,,11,0,"Potato peeler","0000-00-00 00:00:00","0000-00-00 00:00:00"
8,,11,0,Knifes,"0000-00-00 00:00:00","0000-00-00 00:00:00"
9,,11,0,"Cutting boards","0000-00-00 00:00:00","0000-00-00 00:00:00"
10,,11,0,"Pots and pans","0000-00-00 00:00:00","0000-00-00 00:00:00"
11,,11,0,"Stainless steel splatter screen","0000-00-00 00:00:00","0000-00-00 00:00:00"
12,,11,0,"Colander and strainers","0000-00-00 00:00:00","0000-00-00 00:00:00"
13,,11,0,"Wooden spoons, turner and ladle","0000-00-00 00:00:00","0000-00-00 00:00:00"
14,,11,0,"Cheese grater","0000-00-00 00:00:00","0000-00-00 00:00:00"
15,,11,0,"Measuring spoons and cups","0000-00-00 00:00:00","0000-00-00 00:00:00"
16,,11,0,"Can opener","0000-00-00 00:00:00","0000-00-00 00:00:00"
17,,11,0,"Ginger grater","0000-00-00 00:00:00","0000-00-00 00:00:00"
18,,12,0,"Food processor","0000-00-00 00:00:00","0000-00-00 00:00:00"
19,,12,0,"Immersion blender","0000-00-00 00:00:00","0000-00-00 00:00:00"
20,,12,0,Mixers,"0000-00-00 00:00:00","0000-00-00 00:00:00"
21,,12,0,"More pots and pans","0000-00-00 00:00:00","0000-00-00 00:00:00"
22,,12,0,"Baking pans","0000-00-00 00:00:00","0000-00-00 00:00:00"
23,,12,0,"More knifes","0000-00-00 00:00:00","0000-00-00 00:00:00"
24,,12,0,Mezzaluna,"0000-00-00 00:00:00","0000-00-00 00:00:00"
25,,12,0,Whisk,"0000-00-00 00:00:00","0000-00-00 00:00:00"
26,,12,0,Spatula,"0000-00-00 00:00:00","0000-00-00 00:00:00"
27,,12,0,Brush,"0000-00-00 00:00:00","0000-00-00 00:00:00"
28,,12,0,"Meat pounder","0000-00-00 00:00:00","0000-00-00 00:00:00"
29,,12,0,"Potato ricer","0000-00-00 00:00:00","0000-00-00 00:00:00"
30,,12,0,"Bread machine","0000-00-00 00:00:00","0000-00-00 00:00:00"
31,,12,0,"Mixing bowls","0000-00-00 00:00:00","0000-00-00 00:00:00"
32,,12,0,"Salad spinner","0000-00-00 00:00:00","0000-00-00 00:00:00"
33,,12,0,"Seafood and nut cracker","0000-00-00 00:00:00","0000-00-00 00:00:00"
34,,13,0,"Fat separator","0000-00-00 00:00:00","0000-00-00 00:00:00"
35,,13,0,Scale,"0000-00-00 00:00:00","0000-00-00 00:00:00"
36,,13,0,"Pasta machine","0000-00-00 00:00:00","0000-00-00 00:00:00"
37,,13,0,"Ice cream scoop","0000-00-00 00:00:00","0000-00-00 00:00:00"
38,,13,0,"More food processors and mixers","0000-00-00 00:00:00","0000-00-00 00:00:00"
39,,13,0,"New toys","0000-00-00 00:00:00","0000-00-00 00:00:00"
41,,11,0,"Pinch grips","0000-00-00 00:00:00","0000-00-00 00:00:00"
42,,11,0,Chopper,"0000-00-00 00:00:00","0000-00-00 00:00:00"
43,,5,0,Salt,"0000-00-00 00:00:00","0000-00-00 00:00:00"
44,,5,0,Pepper,"0000-00-00 00:00:00","0000-00-00 00:00:00"
45,,5,0,"Extra virgin olive oil","0000-00-00 00:00:00","0000-00-00 00:00:00"
46,,5,0,"Red hot chili pepper","0000-00-00 00:00:00","0000-00-00 00:00:00"
47,,5,0,"White wine","0000-00-00 00:00:00","0000-00-00 00:00:00"
